"","WM_ID","Centroid_X","Centroid_Y","SR_M","SR_A","SR_B","SR_SUM","REGION_2016","REGION_2017","grid_bio1","grid_bio2","grid_bio3","grid_bio4","grid_bio5","grid_bio6","grid_bio7","grid_bio8","grid_bio9","grid_bio10","grid_bio11","grid_bio12","grid_bio13","grid_bio14","grid_bio15","grid_bio16","grid_bio17","grid_bio18","grid_bio19","pet_ann","Countpnts_t","Avg_t","Range_t","Countpnts_SP","Avg_TSP","Avg_USP","Avg_SSP","Avg_erlong","Avg_HERM02","Avg_HERM24","Avg_HERM46","Avg_HERM68","Avg_HERM81","Avg_HERM10","Avg_HERMER","soil_var","dem_range","Avg_Z","Min_Z","Max_Z","Range_Z","Rugg_avg","Rugg_range","Countpnts_cosmo","E_Calc","dE_Calc","RELIEF_MIN","RELIEF_MAX","RELIEF_RNG","RELIEF_MN","RELIEF_STD","REALM","HERMratio"
"420",37188,-72.5,-13.5,149,15,316,480,"ANDES","ANDES",85.38,71.7,596.16,1148.41,132.48,12.15,120.33,95.65,64.95,96.26,64.93,924.72,175.43,9.18,81.92,516.69,30.32,460.89,30.32,1288,9,26.48,72.2,9,565912.84,204.43,33.4,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.18,13,4709,3263.33,2400,3870,1470,589.79,1601,0,0,0,795.07,5439.66,4644.59,3608.05,738.86,"South American",1
"422",37545,-75.5,-14.5,33,2,81,116,"","ANDES",204.02,72.5,623.66,1305.92,255.9,140.41,115.49,221.71,197.49,221.8,185.63,61,20.85,0,158.86,59.89,0,59.85,0,672.75,4,73.3,13.6,4,202454.46,53.55,11.8,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9,3882,1264.5,326,1878,1552,196.85,881,0,0,0,9,3591.55,3582.55,838.15,722.48,"South American",1
"423",37906,-74.5,-15.5,34,2,81,117,"","ANDES",178.45,68.79,616.39,1224.81,225.84,115,110.84,192.13,169.68,193.34,159.95,66.01,17.37,0.36,106.6,50.27,1.33,33.98,1.81,941.67,3,75.27,32.6,3,171525.68,34.62,6.37,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,10,3951,186,75,307,232,345.78,1286,0,0,0,2.25,3661.83,3659.58,1411.48,949.6,"South American",1
"424",37907,-73.5,-15.5,45,4,122,171,"ANDES","ANDES",107.12,88.94,629.14,1269.36,168.21,26.84,141.37,119.25,87.19,120.29,86.1,219.79,57.04,0.94,116.13,165.02,3.43,93.06,3.46,1177.5,17,69.96,93.1,17,10333794.66,451.5,45.43,0.08,0.06,0.06,0.05,0.06,0.05,0.05,0.06,13,5349,1215.88,500,2590,2090,388.13,1772,0,0,0,217.05,4951.28,4734.23,2966.16,956.12,"South American",1.2
"425",37908,-72.5,-15.5,52,4,121,177,"ANDES","ANDES",55.92,104.97,627.59,1411.96,130.4,-36.88,167.29,69.17,32.26,69.41,31.91,347.52,85.88,1.47,118.03,250,5.7,233.84,5.71,1132.25,9,78.21,31.1,9,591150.17,136.89,22.69,0.05,0.11,0.1,0.1,0.1,0.1,0.1,0.1,12,5696,2853.33,1740,3800,2060,403.83,1462,0,0,0,943.83,5854.28,4910.45,3930.84,963.41,"South American",1.1
"426",37912,-68.5,-15.5,175,38,466,679,"ANDES","ANDES",132.82,73.86,570.61,1509.31,185,55.62,129.37,147.23,106.8,148.31,106.8,1168.89,208.16,17.36,65.35,582.6,55.38,458.02,55.38,1259.25,4,12.48,10.1,4,168172.89,92.74,16.91,0.3,0.42,0.42,0.33,0.21,0.19,0.18,0.29,14,5928,3360,2875,4115,1240,537.54,1470,15,406.94,53.05,515.07,5172.93,4657.86,2596.11,1115.27,"South American",1.27272727272727
"427",37913,-67.5,-15.5,194,64,650,908,"ANDES","ANDES",218.61,57.78,555.39,1329.52,262.65,158.63,104.02,229.74,195.54,231.93,195.2,1661.67,246.52,51.28,49.63,722.7,162.4,601.8,163.11,1493.5,18,39.28,109.4,18,170890.03,45.3,9.27,0.19,0.13,0.13,0.13,0.13,0.13,0.11,0.13,14,2779,986.22,522,1680,1158,333.56,1307,12,320.87,41.86,224.24,3184.21,2959.97,983.22,437.05,"South American",1
"429",38272,-68.5,-16.5,118,16,159,293,"ANDES","ANDES",68.54,93.14,576.6,1851.35,135.79,-25.58,161.37,86.49,37.58,87.66,37.4,712.48,160.92,6.44,84.34,429.62,20.82,294.42,20.83,1136.25,30,12.97,32.3,30,525260.76,183.47,27.36,0.33,0.29,0.29,0.23,0.15,0.13,0.11,0.2,14,4860,3802.83,2040,5020,2980,169.1,1167,4,588.65,70.47,2573.03,5016.41,2443.38,4008.77,323.3,"South American",1.26086956521739
"430",38273,-67.5,-16.5,170,36,497,703,"ANDES","ANDES",133.04,71.03,556.19,1628.09,186.09,58.49,127.61,149.09,105.94,149.86,105.87,1120.83,201.91,21.59,66.55,566.9,66.85,463.66,66.85,973.75,21,46.72,548.4,21,680592.85,118.49,18.64,0.36,0.26,0.25,0.22,0.13,0.11,0.12,0.18,14,5749,3280.67,1020,4640,3620,645.28,1202,29,397.27,48.92,751.66,5023.86,4272.21,2626.97,1011.09,"South American",1.18181818181818
"431",38629,-71.5,-17.5,17,1,89,107,"","ANDES",195.38,74.34,660.17,1081.87,244.82,132.42,112.41,201.65,195.63,208.33,178.39,22.19,5.87,0,99.78,16.43,0.19,12.12,2.7,377,4,90.7,8,4,317580.95,70.17,13.4,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,9,2603,303,32,630,598,189.64,761,0,0,0,1,2314.62,2313.62,872.69,561.38,"South American",1
